sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
All,30583,2698539.0,99.9,95.8,3806,12.4,16114,52.7,6441,21.1,4222,13.8,13553,44.3,1,4,2.5,7,4.0,1,3,0.0,0.0,8.0,46.0,141.0,431.0,1119.0,2061.0,3866.0,9358.0,8275.0,5278.0
Dou,32200,2880240.4,99.9,95.8,1657,5.1,18411,57.2,8263,25.7,3869,12.0,15439,47.9,1,6,3.5,6,4.3,1,1,0.0,0.0,0.0,0.0,2.0,51.0,296.0,1308.0,4372.0,10732.0,10171.0,5268.0
War,25707,2273766.4,99.8,95.8,3396,13.2,12172,47.3,6147,23.9,3992,15.5,12316,47.9,5,2,3.5,12,6.3,1,1,0.0,0.0,4.0,38.0,143.0,406.0,1254.0,1551.0,3115.0,6880.0,7206.0,5110.0
PFr,32200,2903041.2,99.6,95.8,1633,5.1,15931,49.5,10013,31.1,4623,14.4,18367,57.0,16,3,9.5,1,6.7,1,1,0.0,0.0,0.0,0.0,4.0,53.0,253.0,1323.0,3722.0,8478.0,12138.0,6229.0
Man,32200,2882000.1,99.6,95.8,2575,8.0,16086,50.0,9187,28.5,4352,13.5,17073,53.0,14,5,9.5,2,7.0,1,2,0.0,0.0,0.0,0.0,4.0,107.0,555.0,1909.0,4098.0,8454.0,11263.0,5810.0
Ade,24388,2176129.3,99.7,95.8,2397,9.8,12078,49.5,6049,24.8,3864,15.8,11981,49.1,7,1,4.0,14,7.3,1,2,0.0,0.0,2.0,11.0,43.0,121.0,690.0,1530.0,2619.0,7391.0,6933.0,5048.0
DDl,30583,2669799.1,99.9,95.8,4646,15.2,16825,55.0,5889,19.3,3223,10.5,12055,39.4,1,9,5.0,13,7.7,2,5,0.0,0.0,4.0,52.0,208.0,627.0,1299.0,2456.0,4693.0,9189.0,7891.0,4164.0
Tel,32200,2814244.8,99.7,95.8,4775,14.8,17597,54.6,6354,19.7,3474,10.8,12739,39.6,6,8,7.0,11,8.3,2,0,0.0,0.0,12.0,64.0,217.0,581.0,1359.0,2542.0,4672.0,10014.0,8224.0,4515.0
SBl,32200,2872606.4,99.6,95.8,2790,8.7,16556,51.4,9032,28.0,3822,11.9,16440,51.1,16,7,11.5,3,8.7,2,5,0.0,0.0,0.0,0.0,6.0,113.0,600.0,2071.0,4241.0,8729.0,11149.0,5291.0
Bat,32200,2872871.3,99.6,95.8,2116,6.6,18187,56.5,8647,26.9,3250,10.1,15836,49.2,14,10,12.0,4,9.3,2,5,0.0,0.0,0.0,0.0,2.0,39.0,389.0,1686.0,4405.0,9843.0,11297.0,4539.0
Whi,32200,2838330.0,99.7,95.8,3081,9.6,19378,60.2,6819,21.2,2922,9.1,13025,40.5,8,12,10.0,9,9.7,2,0,0.0,0.0,0.0,4.0,39.0,182.0,676.0,2180.0,5287.0,10807.0,9104.0,3921.0
Ass,32200,2841796.9,99.6,95.8,2689,8.4,19795,61.5,6842,21.2,2874,8.9,13109,40.7,10,13,11.5,8,10.3,3,0,0.0,0.0,0.0,0.0,26.0,146.0,655.0,1862.0,5470.0,10932.0,9176.0,3933.0
Fla,32200,2862271.9,99.5,95.8,2841,8.8,17492,54.3,8706,27.0,3161,9.8,15558,48.3,18,11,14.5,5,11.3,3,0,0.0,0.0,0.0,0.0,11.0,120.0,624.0,2086.0,4493.0,9308.0,11101.0,4457.0
Fin,32200,2810291.3,99.6,95.8,4035,12.5,19858,61.7,6025,18.7,2282,7.1,11400,35.4,10,16,13.0,16,14.0,3,0,0.0,0.0,0.0,12.0,87.0,273.0,975.0,2688.0,5854.0,10911.0,8315.0,3085.0
Pow,32200,2813474.2,99.6,95.8,3876,12.0,19887,61.8,6129,19.0,2308,7.2,11555,35.9,12,15,13.5,15,14.0,3,0,0.0,0.0,0.0,10.0,80.0,262.0,901.0,2623.0,5849.0,10920.0,8411.0,3144.0
EPl,32200,2703926.1,99.9,95.8,9657,30.0,16235,50.4,4372,13.6,1936,6.0,8528,26.5,1,19,10.0,27,15.7,3,5,0.0,0.0,0.0,100.0,583.0,1418.0,2767.0,4789.0,6482.0,7533.0,5969.0,2559.0
Wal,32200,2817330.1,99.4,95.8,4551,14.1,18027,56.0,7386,22.9,2236,6.9,12957,40.2,23,17,20.0,10,16.7,3,0,0.0,0.0,0.0,4.0,51.0,269.0,1125.0,3102.0,5117.0,9575.0,9682.0,3275.0
Hin,32200,2786060.4,99.6,95.8,4958,15.4,19911,61.8,5503,17.1,1828,5.7,10236,31.8,13,20,16.5,21,18.0,3,0,0.0,0.0,2.0,27.0,126.0,422.0,1352.0,3029.0,6348.0,10658.0,7658.0,2578.0
EWa,30583,2625627.0,99.5,95.8,6825,22.3,15736,51.5,5748,18.8,2274,7.4,10862,35.5,22,14,18.0,19,18.3,3,5,0.0,0.0,15.0,55.0,339.0,1158.0,1789.0,3469.0,4769.0,8127.0,7803.0,3059.0
