category,data_point,count,pct_of_all,cl_rating_hist_0000,cl_rating_hist_0050,cl_rating_hist_0100,cl_rating_hist_0150,cl_rating_hist_0200,cl_rating_hist_0250,cl_rating_hist_0300,cl_rating_hist_0350,cl_rating_hist_0400,cl_rating_hist_0450,cl_rating_hist_0500,cl_rating_hist_0550,cl_rating_hist_0600,cl_rating_hist_0650,cl_rating_hist_0700,cl_rating_hist_0750,cl_rating_hist_0800,cl_rating_hist_0850,cl_rating_hist_0900,cl_rating_hist_0950,cl_rating_hist_1000,cl_rating_hist_1050,cl_rating_hist_1100,cl_rating_hist_1150,cl_rating_hist_1200,cl_rating_hist_1250,cl_rating_hist_1300,cl_rating_hist_1350,cl_rating_hist_1400,cl_rating_hist_1450,cl_rating_hist_1500,cl_rating_hist_1550,cl_rating_hist_1600,cl_rating_hist_1650,cl_rating_hist_1700,cl_rating_hist_1750,cl_rating_hist_1800,cl_rating_hist_1850,cl_rating_hist_1900,cl_rating_hist_1950,cl_rating_hist_2000,cl_rating_hist_2050,cl_rating_hist_2100,cl_rating_hist_2150,cl_rating_hist_2200,cl_rating_hist_2250,cl_rating_hist_2300,cl_rating_hist_2350,cl_rating_hist_2400,cl_rating_hist_2450,cl_rating_hist_2500,cl_rating_hist_2550,cl_rating_hist_2600,cl_rating_hist_2650,cl_rating_hist_2700,cl_rating_hist_2750,cl_rating_hist_2800,cl_rating_hist_2850,cl_rating_hist_2900,cl_rating_hist_2950,cl_rating_hist_3000,cl_rating_hist_3050,cl_rating_hist_3100,cl_rating_hist_3150,cl_rating_hist_3200,cl_rating_hist_3250,cl_rating_hist_3300,cl_rating_hist_3350,cl_rating_hist_3400,cl_rating_hist_3450,cl_rating_hist_3500,cl_rating_hist_3550,cl_rating_hist_3600,cl_rating_hist_3650,cl_rating_hist_3700,cl_rating_hist_3750,cl_rating_hist_3800,cl_rating_hist_3850,cl_rating_hist_3900,cl_rating_hist_3950,cl_rating_hist_4000,cl_rating_hist_4050,cl_rating_hist_4100,cl_rating_hist_4150,cl_rating_hist_4200,cl_rating_hist_4250,cl_rating_hist_4300,cl_rating_hist_4350,cl_rating_hist_4400,cl_rating_hist_4450,cl_rating_hist_4500,cl_rating_hist_4550,cl_rating_hist_4600,cl_rating_hist_4650,cl_rating_hist_4700,cl_rating_hist_4750,cl_rating_hist_4800,cl_rating_hist_4850,cl_rating_hist_4900,cl_rating_hist_4950,cl_rating_hist_5000,cl_rating_hist_5050,cl_rating_hist_5100,cl_rating_hist_5150,cl_rating_hist_5200,cl_rating_hist_5250,cl_rating_hist_5300,cl_rating_hist_5350,cl_rating_hist_5400,cl_rating_hist_5450,cl_rating_hist_5500,cl_rating_hist_5550,cl_rating_hist_5600,cl_rating_hist_5650,cl_rating_hist_5700,cl_rating_hist_5750,cl_rating_hist_5800,cl_rating_hist_5850,cl_rating_hist_5900,cl_rating_hist_5950,cl_rating_hist_6000,cl_rating_hist_6050,cl_rating_hist_6100,cl_rating_hist_6150,cl_rating_hist_6200,cl_rating_hist_6250,cl_rating_hist_6300,cl_rating_hist_6350,cl_rating_hist_6400,cl_rating_hist_6450,cl_rating_hist_6500,cl_rating_hist_6550,cl_rating_hist_6600,cl_rating_hist_6650,cl_rating_hist_6700,cl_rating_hist_6750,cl_rating_hist_6800,cl_rating_hist_6850,cl_rating_hist_6900,cl_rating_hist_6950,cl_rating_hist_7000,cl_rating_hist_7050,cl_rating_hist_7100,cl_rating_hist_7150,cl_rating_hist_7200,cl_rating_hist_7250,cl_rating_hist_7300,cl_rating_hist_7350,cl_rating_hist_7400,cl_rating_hist_7450,cl_rating_hist_7500,cl_rating_hist_7550,cl_rating_hist_7600,cl_rating_hist_7650,cl_rating_hist_7700,cl_rating_hist_7750,cl_rating_hist_7800,cl_rating_hist_7850,cl_rating_hist_7900,cl_rating_hist_7950,cl_rating_hist_8000,cl_rating_hist_8050,cl_rating_hist_8100,cl_rating_hist_8150,cl_rating_hist_8200,cl_rating_hist_8250,cl_rating_hist_8300,cl_rating_hist_8350,cl_rating_hist_8400,cl_rating_hist_8450,cl_rating_hist_8500,cl_rating_hist_8550,cl_rating_hist_8600,cl_rating_hist_8650,cl_rating_hist_8700,cl_rating_hist_8750,cl_rating_hist_8800,cl_rating_hist_8850,cl_rating_hist_8900,cl_rating_hist_8950,cl_rating_hist_9000,cl_rating_hist_9050,cl_rating_hist_9100,cl_rating_hist_9150,cl_rating_hist_9200,cl_rating_hist_9250,cl_rating_hist_9300,cl_rating_hist_9350,cl_rating_hist_9400,cl_rating_hist_9450,cl_rating_hist_9500,cl_rating_hist_9550,cl_rating_hist_9600,cl_rating_hist_9650,cl_rating_hist_9700,cl_rating_hist_9750,cl_rating_hist_9800,cl_rating_hist_9850,cl_rating_hist_9900,cl_rating_hist_9950,cl_rating_hist_10000
total_combos_rated,465835.0,465835.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,6.0,9.0,12.0,6.0,11.0,9.0,24.0,16.0,18.0,34.0,21.0,39.0,29.0,55.0,53.0,50.0,54.0,54.0,70.0,80.0,81.0,127.0,121.0,106.0,153.0,146.0,181.0,179.0,216.0,228.0,219.0,298.0,281.0,313.0,338.0,377.0,392.0,397.0,484.0,448.0,565.0,540.0,674.0,658.0,754.0,860.0,864.0,992.0,1115.0,1136.0,1187.0,1382.0,1626.0,1667.0,1729.0,1949.0,2170.0,2257.0,2543.0,2780.0,3018.0,3143.0,3683.0,3850.0,4291.0,4560.0,5150.0,5793.0,6389.0,7059.0,7876.0,9015.0,10187.0,11809.0,13580.0,15168.0,16945.0,18537.0,20125.0,21768.0,23273.0,24890.0,26224.0,27242.0,26955.0,24934.0,18934.0,14073.0,10563.0,8018.0,6271.0,4990.0,4129.0,3286.0,2715.0,2343.0,2102.0,1715.0,1521.0,1265.0,1060.0,892.0,748.0,657.0,531.0,531.0,544.0,232.0,54.0,0.0
highest_raw_rating,99.95,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowest_raw_rating,41.83,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80th_percentile_rating,88.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95th_percentile_rating,91.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non_qualifying,,72921.0,15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qual_lt_80th_pctile,,299693.0,64.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qual_80th_to_lt_95th_pctile,,69878.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qual_ge_95th_pctile,,23343.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating_gt_80,,392761.0,84.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating_gt_90,,43604.0,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
