sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Des,5760,506590.2,99.9,94,77,1.3,3144,54.6,1032,17.9,1507,26.2,1965,34.1,1,1,1,1,1,1,1,0,0,0,5,9,42,88,206,1810,1635,655,1310
Blu,5270,445369.9,99.9,94,1053,20,1990,37.8,1620,30.7,607,11.5,1296,24.6,1,3,2,4,2.7,1,3,0,0,2,16,64,189,351,701,1295,1356,852,444
Dan,5760,489714.7,99.9,94,297,5.2,3265,56.7,1583,27.5,615,10.7,1439,25,1,4,2.5,3,2.7,1,2,0,0,0,4,17,42,193,983,1960,1122,1021,418
Imp,5270,450096.7,99.9,94,1030,19.5,1781,33.8,1722,32.7,737,14,1485,28.2,5,2,3.5,2,3,1,2,0,0,4,20,74,142,226,595,1332,1392,945,540
Clo,5760,481141.1,99.9,94,1252,21.7,2511,43.6,1584,27.5,413,7.2,998,17.3,1,6,3.5,5,4,1,2,0,0,2,20,66,200,399,889,1675,1511,694,304
Dec,5760,471196.2,99.7,94,1386,24.1,2931,50.9,997,17.3,446,7.7,917,15.9,7,5,6,7,6.3,2,2,0,0,4,17,96,279,609,1294,1665,879,590,327
Ant,5760,478426.8,99.6,94,628,10.9,3451,59.9,1296,22.5,385,6.7,959,16.6,11,7,9,6,8,2,3,0,0,0,11,34,97,427,1298,1831,1103,693,266
ECo,5760,472988.9,99.7,94,1558,27,2513,43.6,1359,23.6,330,5.7,819,14.2,9,11,10,9,9.7,2,5,0,0,4,35,97,258,577,1095,1598,1277,590,229
Whi,5760,474044.3,99.6,94,506,8.8,3954,68.6,956,16.6,344,6,847,14.7,12,9,10.5,8,9.7,2,2,0,0,1,45,101,143,312,1263,2243,805,640,207
All,5270,429704.9,99.7,94,895,17,3353,63.6,719,13.6,303,5.7,652,12.4,6,10,8,15,10.3,2,5,0,0,0,21,98,224,519,1109,1885,762,439,213
Cur,5760,471017.3,99.7,94,783,13.6,3612,62.7,1095,19,270,4.7,732,12.7,9,13,11,12,11.3,2,3,0,0,5,37,60,154,515,1492,1819,946,554,178
EWa,5270,432278.1,99.4,94,1227,23.3,2777,52.7,929,17.6,337,6.4,740,14,19,8,13.5,10,12.3,2,5,0,0,2,22,72,216,482,1116,1741,879,507,233
Cal,5760,468355.8,99.6,94,941,16.3,3559,61.8,1020,17.7,240,4.2,652,11.3,13,15,14,15,14.3,3,0,0,0,4,32,55,204,636,1510,1722,945,479,173
Jug,5760,470881.1,99.3,94,1767,30.7,2483,43.1,1216,21.1,294,5.1,733,12.7,21,12,16.5,11,14.7,3,0,0,2,13,48,126,261,515,1134,1714,1214,516,217
Acr,5270,419051.8,99.7,94,1911,36.3,2287,43.4,858,16.3,214,4.1,533,10.1,7,18,12.5,20,15,3,0,0,2,17,75,191,422,748,1189,1270,823,380,153
