sk_name,sk_count,r_sum,r_max,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,raw_rds_hist_1_3,raw_rds_hist_4,raw_rds_hist_5,raw_rds_hist_6,raw_rds_hist_7,raw_rds_hist_8,raw_rds_hist_9,raw_rds_hist_10,raw_rds_hist_11,raw_rds_hist_12,raw_rds_hist_13,raw_rds_hist_14,raw_rds_hist_15,raw_rds_hist_16,raw_rds_hist_17,raw_rds_hist_18,raw_rds_hist_19,raw_rds_hist_20,raw_rds_hist_21_25,raw_rds_hist_25_plus,net_rds_hist_1_3,net_rds_hist_4,net_rds_hist_5,net_rds_hist_6,net_rds_hist_7,net_rds_hist_8,net_rds_hist_9,net_rds_hist_10,net_rds_hist_11,net_rds_hist_12,net_rds_hist_13,net_rds_hist_14,net_rds_hist_15,net_rds_hist_16,net_rds_hist_17,net_rds_hist_18,net_rds_hist_19,net_rds_hist_20,net_rds_hist_21_25,net_rds_hist_25_plus
War,6314,525018.3,99.9,2043,32.4,988,15.6,1781,28.2,1502,23.8,2427,38.4,1,1,1.0,1,1.0,1,1,0.0,0.0,0.0,10977.0,952186.0,9503493.0,33035003.0,60027938.0,69988895.0,57810554.0,36759827.0,19157878.0,8976233.0,4607626.0,2976571.0,2248804.0,1839885.0,1529030.0,4324689.0,1735644.0,0.0,0.0,0.0,1.7,150.8,1505.1,5232.0,9507.1,11084.7,9155.9,5822.0,3034.2,1421.6,729.7,471.4,356.2,291.4,242.2,684.9,274.9
Whi,8100,653162.0,99.9,3495,43.1,1603,19.8,2026,25.0,976,12.0,1890,23.3,1,4,2.5,3,2.7,1,2,0.0,0.0,0.0,12204.0,879015.0,9173733.0,36006856.0,72362658.0,91421561.0,79598263.0,50783092.0,26034879.0,11671733.0,5905693.0,3898676.0,3020194.0,2507711.0,2111502.0,6178507.0,2462045.0,0.0,0.0,0.0,1.5,108.5,1132.6,4445.3,8933.7,11286.6,9826.9,6269.5,3214.2,1441.0,729.1,481.3,372.9,309.6,260.7,762.8,304.0
Ass,8100,645265.9,99.9,3795,46.9,1555,19.2,1869,23.1,881,10.9,1714,21.2,1,5,3.0,4,3.3,1,3,0.0,0.0,0.0,13140.0,932770.0,9017682.0,34418908.0,69802383.0,89604808.0,80050347.0,52405018.0,27577199.0,12525678.0,6272504.0,4043916.0,3110093.0,2586226.0,2193701.0,6585795.0,2749666.0,0.0,0.0,0.0,1.6,115.2,1113.3,4249.2,8617.6,11062.3,9882.8,6469.8,3404.6,1546.4,774.4,499.2,384.0,319.3,270.8,813.1,339.5
Fin,8100,641702.9,99.9,3860,47.7,1590,19.6,1871,23.1,779,9.6,1628,20.1,1,8,4.5,6,5.0,1,5,0.0,0.0,0.0,7088.0,652702.0,7747093.0,32865138.0,69015012.0,90515362.0,81278818.0,53422571.0,27930313.0,12591098.0,6295155.0,4093357.0,3153966.0,2631604.0,2238874.0,6664688.0,2798148.0,0.0,0.0,0.0,0.9,80.6,956.4,4057.4,8520.4,11174.7,10034.4,6595.4,3448.2,1554.5,777.2,505.4,389.4,324.9,276.4,822.8,345.5
All,7419,585581.3,99.9,3481,46.9,1335,18.0,1834,24.7,769,10.4,1540,20.8,1,6,3.5,9,5.3,2,5,0.0,0.0,0.0,6.0,469223.0,6919490.0,30121481.0,62982561.0,82201789.0,73648154.0,48961871.0,26187607.0,12069022.0,6063431.0,3832326.0,2933455.0,2431880.0,2063067.0,6295676.0,2823040.0,0.0,0.0,0.0,0.0,63.2,932.7,4060.0,8489.4,11079.9,9927.0,6599.5,3529.8,1626.8,817.3,516.6,395.4,327.8,278.1,848.6,380.5
DDl,7935,620474.0,99.9,3938,49.6,1396,17.6,1798,22.7,803,10.1,1547,19.5,1,7,4.0,8,5.3,1,5,0.0,0.0,0.0,25150.0,1130208.0,9059179.0,32358236.0,64792177.0,84270734.0,77581390.0,53083098.0,29444176.0,13985320.0,6949791.0,4274928.0,3199815.0,2649884.0,2273640.0,7068289.0,3366025.0,0.0,0.0,0.0,3.2,142.4,1141.7,4077.9,8165.4,10620.1,9777.1,6689.7,3710.7,1762.5,875.8,538.7,403.3,333.9,286.5,890.8,424.2
Mar,7025,577551.3,98.9,2407,34.3,1241,17.7,2169,30.9,1208,17.2,2318,33.0,12,2,7.0,2,5.3,2,2,0.0,0.0,0.0,14750.0,993417.0,9610154.0,34225124.0,64411754.0,77842379.0,66223925.0,42465421.0,22216933.0,10287920.0,5226944.0,3371806.0,2584075.0,2127099.0,1789713.0,5199903.0,2134829.0,0.0,0.0,0.0,2.1,141.4,1368.0,4871.9,9168.9,11080.8,9426.9,6044.9,3162.6,1464.5,744.0,480.0,367.8,302.8,254.8,740.2,303.9
Dan,9074,708502.5,99.2,4727,52.1,1593,17.6,2008,22.1,746,8.2,1573,17.3,8,9,8.5,7,8.0,2,3,0.0,0.0,0.0,8181.0,591774.0,6976701.0,31649235.0,71196504.0,98802146.0,93584085.0,64259298.0,34910314.0,16021949.0,7912579.0,4992669.0,3841370.0,3214829.0,2745805.0,8342723.0,3624402.0,0.0,0.0,0.0,0.9,65.2,768.9,3487.9,7846.2,10888.5,10313.4,7081.7,3847.3,1765.7,872.0,550.2,423.3,354.3,302.6,919.4,399.4
Swo,6314,504278.5,98.5,2701,42.8,967,15.3,1845,29.2,801,12.7,1668,26.4,16,3,9.5,5,8.0,2,0,0.0,0.0,0.0,1275.0,390318.0,5962399.0,25810544.0,53833752.0,69470880.0,62019725.0,41521272.0,22634618.0,10615900.0,5359030.0,3339538.0,2536797.0,2083266.0,1769706.0,5340454.0,2426829.0,0.0,0.0,0.0,0.2,61.8,944.3,4087.8,8526.1,11002.7,9822.6,6576.1,3584.8,1681.3,848.8,528.9,401.8,329.9,280.3,845.8,384.4
Hin,8100,632489.2,99.7,4277,52.8,1403,17.3,1767,21.8,653,8.1,1434,17.7,7,10,8.5,10,9.0,2,0,0.0,0.0,0.0,3343.0,501086.0,6689190.0,30412655.0,66542309.0,89760221.0,82451162.0,55299627.0,29399842.0,13404704.0,6614802.0,4250097.0,3272019.0,2715749.0,2328133.0,7063195.0,3084287.0,0.0,0.0,0.0,0.4,61.9,825.8,3754.6,8215.1,11081.5,10179.2,6827.1,3629.6,1654.9,816.6,524.7,404.0,335.3,287.4,872.0,380.8
