skill_name,raw_rating,net_rating,name
G3AcrAllAntAss,84.0,84.0,G3CORb20AcrAllAntAss
G3AcrAllAntBac,79.8,n/q,G3CORb20AcrAllAntBac
G3AcrAllAntCal,77.0,n/q,G3CORb20AcrAllAntCal
G3AcrAllAntClo,64.1,n/q,G3CORb20AcrAllAntClo
G3AcrAllAntCro,86.3,86.3,G3CROb21AcrAllAntCro
G3AcrAllAntCur,79.9,n/q,G3CORb20AcrAllAntCur
G3AcrAllAntDCr,77.7,n/q,G3CORb20AcrAllAntDCr
G3AcrAllAntDDl,82.9,82.9,G3CORb20AcrAllAntDDl
G3AcrAllAntDan,81.7,81.7,G3CORb20AcrAllAntDan
G3AcrAllAntDec,72.7,n/q,G3CORb20AcrAllAntDec
G3AcrAllAntECo,64.0,n/q,G3CORb20AcrAllAntECo
G3AcrAllAntEWa,76.3,n/q,G3CORb20AcrAllAntEWa
G3AcrAllAntFaH,63.5,n/q,G3CORb20AcrAllAntFaH
G3AcrAllAntFaL,70.8,n/q,G3CORb20AcrAllAntFaL
G3AcrAllAntFin,83.2,83.2,G3CORb20AcrAllAntFin
G3AcrAllAntGla,64.0,n/q,G3CORb20AcrAllAntGla
G3AcrAllAntGun,88.1,88.1,G3CORb20AcrAllAntGun
G3AcrAllAntHin,82.2,82.2,G3CORb20AcrAllAntHin
G3AcrAllAntImp,64.2,n/q,G3CORb20AcrAllAntImp
G3AcrAllAntJug,64.1,n/q,G3CORb20AcrAllAntJug
G3AcrAllAntMaD,75.5,n/q,G3CORb20AcrAllAntMaD
G3AcrAllAntMai,72.5,n/q,G3CORb20AcrAllAntMai
G3AcrAllAntMar,91.3,91.3,G3CORb20AcrAllAntMar
G3AcrAllAntPar,70.2,n/q,G3CORb20AcrAllAntPar
G3AcrAllAntPer,79.1,n/q,G3CORb20AcrAllAntPer
G3AcrAllAntStu,63.9,n/q,G3CORb20AcrAllAntStu
G3AcrAllAntSup,72.5,n/q,G3CORb20AcrAllAntSup
G3AcrAllAntSur,63.7,n/q,G3CORb20AcrAllAntSur
G3AcrAllAntSwo,89.0,89.0,G3WARb22AcrAllAntSwo
G3AcrAllAntTel,81.0,81.0,G3CORb20AcrAllAntTel
G3AcrAllAntThr,74.8,n/q,G3CORb20AcrAllAntThr
G3AcrAllAntTou,63.7,n/q,G3CORb20AcrAllAntTou
G3AcrAllAntWar,92.1,92.1,G3WARb22AcrAllAntWar
G3AcrAllAntWhi,84.7,84.7,G3CORb20AcrAllAntWhi
G3AcrAllAssBac,85.4,85.4,G3CORb20AcrAllAssBac
G3AcrAllAssCal,82.7,82.7,G3CORb20AcrAllAssCal
G3AcrAllAssClo,72.1,n/q,G3CORb20AcrAllAssClo
G3AcrAllAssCro,90.6,90.6,G3CROb21AcrAllAssCro
G3AcrAllAssCur,85.2,85.2,G3CORb20AcrAllAssCur
G3AcrAllAssDCr,81.6,81.6,G3CORb20AcrAllAssDCr
G3AcrAllAssDDl,85.8,85.8,G3CORb20AcrAllAssDDl
G3AcrAllAssDan,86.5,86.5,G3CORb20AcrAllAssDan
G3AcrAllAssDec,78.5,n/q,G3CORb20AcrAllAssDec
G3AcrAllAssECo,71.2,n/q,G3CORb20AcrAllAssECo
G3AcrAllAssEWa,82.7,82.7,G3CORb20AcrAllAssEWa
G3AcrAllAssFaH,69.8,n/q,G3CORb20AcrAllAssFaH
G3AcrAllAssFaL,77.0,n/q,G3CORb20AcrAllAssFaL
G3AcrAllAssFin,88.1,88.1,G3CORb20AcrAllAssFin
G3AcrAllAssGla,71.2,n/q,G3CORb20AcrAllAssGla
G3AcrAllAssGun,91.8,91.8,G3CORb20AcrAllAssGun
G3AcrAllAssHin,87.3,87.3,G3CORb20AcrAllAssHin
G3AcrAllAssImp,72.9,n/q,G3CORb20AcrAllAssImp
G3AcrAllAssJug,72.2,n/q,G3CORb20AcrAllAssJug
G3AcrAllAssMaD,81.7,81.7,G3CORb20AcrAllAssMaD
G3AcrAllAssMai,79.2,n/q,G3CORb20AcrAllAssMai
G3AcrAllAssMar,94.1,94.1,G3CORb20AcrAllAssMar
G3AcrAllAssPar,76.4,n/q,G3CORb20AcrAllAssPar
G3AcrAllAssPer,83.9,83.9,G3CORb20AcrAllAssPer
G3AcrAllAssStu,71.3,n/q,G3CORb20AcrAllAssStu
G3AcrAllAssSup,79.2,n/q,G3CORb20AcrAllAssSup
G3AcrAllAssSur,70.6,n/q,G3CORb20AcrAllAssSur
G3AcrAllAssSwo,92.6,92.6,G3WARb22AcrAllAssSwo
G3AcrAllAssTel,85.1,85.1,G3CORb20AcrAllAssTel
G3AcrAllAssThr,80.9,80.9,G3CORb20AcrAllAssThr
G3AcrAllAssTou,70.6,n/q,G3CORb20AcrAllAssTou
G3AcrAllAssWar,94.7,94.7,G3WARb22AcrAllAssWar
G3AcrAllAssWhi,89.3,89.3,G3CORb20AcrAllAssWhi
G3AcrAllBacCal,78.0,n/q,G3CORb20AcrAllBacCal
G3AcrAllBacClo,64.5,n/q,G3CORb20AcrAllBacClo
G3AcrAllBacCro,85.9,85.9,G3CROb21AcrAllBacCro
G3AcrAllBacCur,81.4,81.4,G3CORb20AcrAllBacCur
G3AcrAllBacDCr,77.2,n/q,G3CORb20AcrAllBacDCr
G3AcrAllBacDDl,82.5,82.5,G3CORb20AcrAllBacDDl
G3AcrAllBacDan,83.3,83.3,G3CORb20AcrAllBacDan
G3AcrAllBacDec,66.8,n/q,G3CORb20AcrAllBacDec
G3AcrAllBacECo,64.1,n/q,G3CORb20AcrAllBacECo
G3AcrAllBacEWa,75.9,n/q,G3CORb20AcrAllBacEWa
G3AcrAllBacFaH,63.6,n/q,G3CORb20AcrAllBacFaH
G3AcrAllBacFaL,70.2,n/q,G3CORb20AcrAllBacFaL
G3AcrAllBacFin,82.1,82.1,G3CORb20AcrAllBacFin
G3AcrAllBacGla,64.1,n/q,G3CORb20AcrAllBacGla
G3AcrAllBacGun,87.6,87.6,G3CORb20AcrAllBacGun
G3AcrAllBacHin,79.9,n/q,G3CORb20AcrAllBacHin
G3AcrAllBacImp,64.8,n/q,G3CORb20AcrAllBacImp
G3AcrAllBacJug,64.5,n/q,G3CORb20AcrAllBacJug
G3AcrAllBacMaD,77.0,n/q,G3CORb20AcrAllBacMaD
G3AcrAllBacMai,72.2,n/q,G3CORb20AcrAllBacMai
G3AcrAllBacMar,91.0,91.0,G3CORb20AcrAllBacMar
G3AcrAllBacPar,70.8,n/q,G3CORb20AcrAllBacPar
G3AcrAllBacPer,80.2,80.2,G3CORb20AcrAllBacPer
G3AcrAllBacStu,64.1,n/q,G3CORb20AcrAllBacStu
G3AcrAllBacSup,72.2,n/q,G3CORb20AcrAllBacSup
G3AcrAllBacSur,63.9,n/q,G3CORb20AcrAllBacSur
G3AcrAllBacSwo,88.4,88.4,G3WARb22AcrAllBacSwo
G3AcrAllBacTel,75.4,n/q,G3CORb20AcrAllBacTel
G3AcrAllBacThr,75.7,n/q,G3CORb20AcrAllBacThr
G3AcrAllBacTou,63.9,n/q,G3CORb20AcrAllBacTou
G3AcrAllBacWar,91.8,91.8,G3WARb22AcrAllBacWar
G3AcrAllBacWhi,84.4,84.4,G3CORb20AcrAllBacWhi
G3AcrAllCalClo,62.6,n/q,G3CORb20AcrAllCalClo
G3AcrAllCalCro,84.8,84.8,G3CROb21AcrAllCalCro
G3AcrAllCalCur,78.5,n/q,G3CORb20AcrAllCalCur
G3AcrAllCalDCr,75.8,n/q,G3CORb20AcrAllCalDCr
G3AcrAllCalDDl,81.1,81.1,G3CORb20AcrAllCalDDl
G3AcrAllCalDan,80.5,80.5,G3CORb20AcrAllCalDan
G3AcrAllCalDec,71.1,n/q,G3CORb20AcrAllCalDec
G3AcrAllCalECo,62.5,n/q,G3CORb20AcrAllCalECo
G3AcrAllCalEWa,74.5,n/q,G3CORb20AcrAllCalEWa
G3AcrAllCalFaH,62.2,n/q,G3CORb20AcrAllCalFaH
G3AcrAllCalFaL,69.0,n/q,G3CORb20AcrAllCalFaL
G3AcrAllCalFin,82.0,82.0,G3CORb20AcrAllCalFin
G3AcrAllCalGla,62.5,n/q,G3CORb20AcrAllCalGla
G3AcrAllCalGun,86.6,86.6,G3CORb20AcrAllCalGun
G3AcrAllCalHin,80.5,80.5,G3CORb20AcrAllCalHin
G3AcrAllCalImp,62.6,n/q,G3CORb20AcrAllCalImp
G3AcrAllCalJug,62.6,n/q,G3CORb20AcrAllCalJug
G3AcrAllCalMaD,74.0,n/q,G3CORb20AcrAllCalMaD
G3AcrAllCalMai,70.7,n/q,G3CORb20AcrAllCalMai
G3AcrAllCalMar,90.2,90.2,G3CORb20AcrAllCalMar
G3AcrAllCalPar,68.7,n/q,G3CORb20AcrAllCalPar
G3AcrAllCalPer,77.3,n/q,G3CORb20AcrAllCalPer
G3AcrAllCalStu,62.5,n/q,G3CORb20AcrAllCalStu
G3AcrAllCalSup,70.7,n/q,G3CORb20AcrAllCalSup
G3AcrAllCalSur,62.3,n/q,G3CORb20AcrAllCalSur
G3AcrAllCalSwo,87.9,87.9,G3WARb22AcrAllCalSwo
G3AcrAllCalTel,78.8,n/q,G3CORb20AcrAllCalTel
G3AcrAllCalThr,73.4,n/q,G3CORb20AcrAllCalThr
G3AcrAllCalTou,62.3,n/q,G3CORb20AcrAllCalTou
G3AcrAllCalWar,91.1,91.1,G3WARb22AcrAllCalWar
G3AcrAllCalWhi,83.3,83.3,G3CORb20AcrAllCalWhi
G3AcrAllCloCro,65.0,n/q,G3CROb21AcrAllCloCro
G3AcrAllCloCur,67.8,n/q,G3CORb20AcrAllCloCur
G3AcrAllCloDCr,57.1,n/q,G3CORb20AcrAllCloDCr
G3AcrAllCloDDl,60.7,n/q,G3CORb20AcrAllCloDDl
G3AcrAllCloDan,70.6,n/q,G3CORb20AcrAllCloDan
G3AcrAllCloDec,53.5,n/q,G3CORb20AcrAllCloDec
G3AcrAllCloECo,49.6,n/q,G3CORb20AcrAllCloECo
G3AcrAllCloEWa,54.8,n/q,G3CORb20AcrAllCloEWa
G3AcrAllCloFaH,49.8,n/q,G3CORb20AcrAllCloFaH
G3AcrAllCloFaL,53.0,n/q,G3CORb20AcrAllCloFaL
G3AcrAllCloFin,71.2,n/q,G3CORb20AcrAllCloFin
G3AcrAllCloGla,49.7,n/q,G3CORb20AcrAllCloGla
G3AcrAllCloGun,67.7,n/q,G3CORb20AcrAllCloGun
G3AcrAllCloHin,69.0,n/q,G3CORb20AcrAllCloHin
G3AcrAllCloImp,49.6,n/q,G3CORb20AcrAllCloImp
G3AcrAllCloJug,49.6,n/q,G3CORb20AcrAllCloJug
G3AcrAllCloMaD,62.4,n/q,G3CORb20AcrAllCloMaD
G3AcrAllCloMai,53.7,n/q,G3CORb20AcrAllCloMai
