sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
PFr,11228,1001191,100,94.9,748,6.7,5319,47.4,3518,31.3,1643,14.6,6001,53.4,1,2,1.5,1,1.3,1,1,0,0,0,0,104,428,139,164,935,3457,4424,1577
War,10017,880888.1,100,94.9,1113,11.1,4741,47.3,2531,25.3,1632,16.3,4700,46.9,1,1,1,6,2.7,1,1,0,0,0,40,181,255,203,443,1804,2391,3122,1578
Whi,11228,960934.9,100,94.9,2094,18.6,5086,45.3,2784,24.8,1264,11.3,4771,42.5,1,4,2.5,5,3.3,1,1,0,0,36,201,590,926,233,243,965,3263,3552,1219
Bat,11228,1005805.4,99.9,94.9,509,4.5,5775,51.4,3396,30.2,1548,13.8,5765,51.3,6,3,4.5,2,3.7,1,1,0,0,0,0,10,213,79,207,1132,3822,4276,1489
EWa,10436,910704.8,100,94.9,1122,10.8,5903,56.6,2310,22.1,1101,10.6,3929,37.6,1,6,3.5,8,5,2,2,0,0,0,0,42,200,184,696,2439,2946,2871,1058
SBl,11228,993847.4,99.8,94.9,776,6.9,6033,53.7,3197,28.5,1222,10.9,5208,46.4,8,5,6.5,3,5.3,2,2,0,0,0,0,42,411,147,239,1391,3790,4033,1175
EPl,11228,984133.8,99.9,94.9,703,6.3,7167,63.8,2178,19.4,1180,10.5,3871,34.5,6,7,6.5,9,7.3,2,0,0,0,0,0,0,0,0,703,3264,3390,2730,1141
Pow,11228,953725.4,99.9,94.9,2238,19.9,5471,48.7,2525,22.5,994,8.9,4284,38.2,5,10,7.5,7,7.3,2,0,0,0,52,217,628,917,215,313,1245,3357,3327,957
Fla,11228,989289,99.7,94.9,915,8.1,6136,54.6,3045,27.1,1132,10.1,4988,44.4,11,8,9.5,4,7.7,2,0,0,0,0,0,148,436,115,267,1403,3871,3903,1085
All,10436,877746.6,99.8,94.9,2398,23,5191,49.7,1880,18,967,9.3,3432,32.9,9,9,9,11,9.7,2,0,0,6,71,175,537,792,367,617,1606,2833,2496,936
